Name,RA,DEC,Redshift,Distance,C,A,Gini,M20
MKW4_00315,0.0,0.0,0.0196508,0.0,0.0,0.0,0.0,0.0
MKW4_00316,0.0,0.0,0.01954,0.0,0.0,0.0,0.0,0.0
MKW4_00317,0.0,0.0,0.021021,0.0,0.0,0.0,0.0,0.0
MKW4_00318,0.0,0.0,0.019942889,0.0,0.0,0.0,0.0,0.0
MKW4_00319,0.0,0.0,0.02104268,0.0,0.0,0.0,0.0,0.0
MKW4_00320,0.0,0.0,0.020222,0.0,0.0,0.0,0.0,0.0
MKW4_00321,0.0,0.0,0.01968278,0.0,0.0,0.0,0.0,0.0
MKW4_00322,0.0,0.0,0.020425,0.0,0.0,0.0,0.0,0.0
MKW4_00323,0.0,0.0,0.0214,0.0,0.0,0.0,0.0,0.0
MKW4_00324,0.0,0.0,0.021000931,0.0,0.0,0.0,0.0,0.0
MKW4_00325,0.0,0.0,0.020459,0.0,0.0,0.0,0.0,0.0
MKW4_00326,0.0,0.0,0.020846,0.0,0.0,0.0,0.0,0.0
MKW4_00327,0.0,0.0,0.019753,0.0,0.0,0.0,0.0,0.0
MKW4_00328,0.0,0.0,0.021217,0.0,0.0,0.0,0.0,0.0
MKW4_00329,0.0,0.0,0.0211952,0.0,0.0,0.0,0.0,0.0
MKW4_00330,0.0,0.0,0.0204159,0.0,0.0,0.0,0.0,0.0
MKW4_00331,0.0,0.0,0.020977,0.0,0.0,0.0,0.0,0.0
MKW4_00332,0.0,0.0,0.0207731,0.0,0.0,0.0,0.0,0.0
